Location;Price;Bedrooms;Bathrooms;Size;Avg_Price_m3;Balcony_size
Arroyo Grande;795000;3;3;237,1;3353,02;19
San Miguel;399000;4;3;281,8;1415,9;23
San Miguel;545000;4;3;303,2;1797,49;25
Los Alamos;909000;4;4;354;2567,8;32
San Miguel;109900;3;1;124,9;879,9;11
Los Alamos;324900;3;3;180;1805;15
San Miguel;192900;4;2;160,3;1203,37;16
San Miguel;215000;3;2;145;1482,76;13
Los Alamos;999000;4;3;336;2973,21;30
Arroyo Grande;319000;3;2;132,3;2411,19;11
San Miguel;350000;3;2;175;2000;15
San Miguel;249000;3;2;140;1778,57;11
Arroyo Grande;299000;2;2;125,7;2378,68;10
San Miguel;235900;3;2;140;1685;11
San Miguel;348000;3;2;160;2175;14
San Miguel;314000;4;3;179,4;1750,28;16
Los Alamos;399000;4;2;185;2156,76;18
San Miguel;599000;3;3;295;2030,51;29
San Miguel;299000;3;2;171,9;1739,38;15
San Miguel;425000;3;3;147,2;2887,23;13
Los Alamos;1100000;4;3;416,8;2639,16;41
Cambria;1500000;3;3;388;3865,98;38
San Miguel;110000;2;1;100;1100;9
San Miguel;200000;3;2;113,9;1755,93;11
San Miguel;134900;3;1;108;1249,07;10
San Miguel;250000;4;3;200;1250;16
San Miguel;950000;3;4;192;4947,92;19
San Miguel;239950;4;2;134,8;1780,04;12
San Miguel;170000;3;2;128;1328,13;11
San Miguel;285000;3;2;240;1187,5;21
San Miguel;279000;3;3;170;1641,18;15
San Miguel;219000;3;2;160;1368,75;16
San Miguel;155000;3;2;105;1476,19;9
Arroyo Grande;389000;3;2;141,5;2749,12;12
Los Alamos;340000;3;1;111;3063,06;11
King City;95000;2;1;79,7;1191,97;7
San Miguel;140000;2;2;110;1272,73;9
San Miguel;1100000;3;3;260,2;4227,52;23
San Miguel;360000;4;3;235,1;1531,26;23
Los Alamos;415000;3;3;135;3074,07;13
San Miguel;250000;4;2;120,6;2072,97;10
San Miguel;559000;3;3;262,8;2127,09;21
Los Alamos;525000;3;3;236,5;2219,87;21
Los Alamos;779000;3;3;299;2605,35;27
Arroyo Grande;595000;3;2;175;3400;17
Templeton;1150000;4;5;550;2090,91;55
Templeton;550000;3;2;185,2;2969,76;18
King City;500000;3;2;210;2380,95;21
San Miguel;279000;4;3;258;1081,4;21
San Miguel;375000;4;2;196,3;1910,34;17
San Miguel;330000;3;3;190;1736,84;15
San Miguel;199000;3;3;145;1372,41;12
San Miguel;165000;2;2;100;1650;10
Templeton;1399000;4;3;650;2152,31;54
San Miguel;255000;3;2;121,8;2093,6;10
Cambria;325000;2;2;89,3;3639,42;7
Los Alamos;789000;3;3;210;3757,14;17
Los Alamos;498000;4;3;234,1;2127,3;19
Los Alamos;430000;4;2;216,8;1983,39;19
San Miguel;539900;4;3;303,2;1780,67;27
San Miguel;499000;3;2;129,3;3859,24;11
Los Alamos;275000;3;2;120;2291,67;10
San Miguel;499000;3;4;225;2217,78;20
Los Alamos;899000;3;3;243;3699,59;24
Los Alamos;1045000;3;3;210;4976,19;19
Los Alamos;774000;2;2;155;4993,55;15
San Miguel;239000;3;3;180;1327,78;16
San Miguel;195000;3;2;121,8;1600,99;10
King City;325000;2;1;76,8;4231,77;6
Los Alamos;320000;4;2;192,9;1658,89;19
San Miguel;275000;4;3;187,7;1465,1;18
San Miguel;329000;3;2;170;1935,29;15
San Miguel;140000;3;2;108;1296,3;9
San Miguel;409000;4;3;219,2;1865,88;21
San Miguel;167900;3;2;129,6;1295,52;12
Los Alamos;325000;7;5;268,8;1209,08;22
San Miguel;119000;1;1;90;1322,22;8
San Miguel;245000;4;2;148,2;1653,17;14
San Miguel;259900;3;2;172,6;1505,79;15
Arroyo Grande;495000;3;2;148,6;3331,09;13
San Miguel;399000;4;2;154,3;2585,87;14
San Miguel;329700;4;2;136,7;2411,85;12
Arroyo Grande;199000;1;1;71,2;2794,94;7
San Miguel;149000;3;2;104;1432,69;9
San Miguel;225000;3;2;145,6;1545,33;12
San Miguel;195000;2;1;81,1;2404,44;8
San Miguel;359900;3;3;195,1;1844,7;17
